VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 6:53,7/2/2021 6:41,N,1,136,130,1,19.68,60,0,0.5,0,6.55,,0.3,67.35,1,1,0
2,7/1/2021 7:54,7/1/2021 8:06,N,1,42,238,1,3.07,12,0,0.5,0,0,,0.3,12.8,1,1,0
2,7/1/2021 7:22,7/1/2021 7:39,N,1,33,181,1,3.12,12.5,0,0.5,3.99,0,,0.3,17.29,1,1,0
2,7/1/2021 6:49,7/1/2021 6:54,N,1,69,247,1,0.87,5.5,0,0.5,0,0,,0.3,6.3,2,1,0
2,7/1/2021 7:23,7/1/2021 7:37,N,1,74,263,2,2.56,11,0,0.5,0,0,,0.3,14.55,2,1,2.75
2,7/1/2021 7:48,7/1/2021 7:51,N,1,75,74,1,0.72,4.5,0,0.5,0.5,0,,0.3,5.8,1,1,0
2,7/1/2021 7:29,7/1/2021 7:38,N,1,74,166,2,1.38,8,0,0.5,2.2,0,,0.3,11,1,1,0
2,7/1/2021 7:48,7/1/2021 8:04,N,1,74,244,1,3.21,13.5,0,0.5,2.14,0,,0.3,16.44,1,1,0
2,7/1/2021 7:57,7/1/2021 8:06,N,1,244,152,2,1.67,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
2,7/1/2021 7:20,7/1/2021 7:29,N,1,74,166,1,1.68,8.5,0,0.5,2.32,0,,0.3,11.62,1,1,0
2,7/1/2021 7:45,7/1/2021 8:00,N,1,74,140,1,3.6,14.5,0,0.5,3.61,0,,0.3,21.66,1,1,2.75
2,7/1/2021 8:03,7/1/2021 8:14,N,1,41,140,1,3.44,12.5,0,0.5,6,0,,0.3,22.05,1,1,2.75
2,7/1/2021 7:18,7/1/2021 7:25,N,1,95,95,1,1.25,7,0,0.5,1.56,0,,0.3,9.36,1,1,0
2,7/1/2021 7:09,7/1/2021 8:13,N,1,61,145,1,10.55,46,0,0.5,0,0,,0.3,46.8,1,1,0
1,7/1/2021 7:36,7/1/2021 7:54,N,1,175,185,1,0,28.2,0,0.5,0,6.55,,0.3,35.55,1,1,0
2,7/1/2021 7:50,7/1/2021 8:03,N,1,74,239,1,2.9,11.5,0,0.5,0,0,,0.3,15.05,2,1,2.75
2,7/1/2021 7:24,7/1/2021 7:41,N,1,75,90,1,4.51,16,0,0.5,3.91,0,,0.3,23.46,1,1,2.75
2,7/1/2021 7:02,7/1/2021 7:14,N,1,132,86,1,5.7,17.5,0,0.5,0,0,,0.3,18.3,2,1,0
2,7/1/2021 7:46,7/1/2021 8:05,N,1,75,229,1,3.21,16,0,0.5,0,0,,0.3,19.55,2,1,2.75
1,7/1/2021 7:00,7/1/2021 7:46,N,1,119,61,1,0,44.2,0,0.5,0,6.55,,0.3,51.55,1,1,0
2,7/1/2021 6:47,7/1/2021 6:53,N,1,74,74,1,1.12,6,0,0.5,1.36,0,,0.3,8.16,1,1,0
